"blood, sweat & tears",hi-de-ho
olivia newton-john & john travolta,summer nights
olivia newton-john & john travolta,you're the one that i want
olivia newton-john,a little more love
olivia newton-john,deeper than the night
olivia newton-john,have you never been mellow
olivia newton-john,hopelessly devoted to you
olivia newton-john,i honestly love you
olivia newton-john,if not for you
olivia newton-john,if you love me (let me know)
olivia newton-john,let me be there
olivia newton-john,please mr. please
orleans,dance with me
orleans,still the one
ozark mountain daredevils,jackie blue
pablo cruise,love will find a way
pablo cruise,whatcha gonna do?
pacific gas & electric,are you ready?
paper lace,the night chicago died
parliament,flash light
parliament,tear the roof off the sucker (give up the funk)
pat travers band,boom boom (out go the lights)
patrick hernandez,born to be alive
patti smith group,because the night
patti smith,because the night
paul & linda mccartney,uncle albert/admiral halsey
paul anka & odia coates,one man woman/one woman man
paul anka,(you're) having my baby
paul anka,i don't like to sleep alone
paul anka,times of your life
paul anka and odia coates,(youre) having my baby
paul davis,i go crazy
paul mccartney & wings,maybe i'm amazed
paul mccartney & wings,silly love songs
paul mccartney and wings,band on the run
paul mccartney and wings,helen wheels
paul mccartney and wings,jet
paul mccartney and wings,junior's farm
paul mccartney and wings,listen to what the man said
paul mccartney and wings,live and let die
paul mccartney and wings,my love
paul mccartney,another day / oh woman oh why
paul mccartney,helen wheels
paul mccartney,let 'em in
paul mccartney,listen to what the man said
paul mccartney,my love
paul mccartney,uncle albert
paul mccartney,venus and mars / rock show
paul mccartney,with a little luck
paul mccartney and linda mccartney,uncle albert/admiral halsey
paul revere & the raiders,indian reservation (the lament of the cherokee reservation indian)
paul simon,50 ways to leave your lover
paul simon,kodachrome
paul simon,loves me like a rock
paul simon,me and julio down by the schoolyard
paul simon,mother and child reunion
paul simon,slip slidin' away
paul simon,take me to the mardi gras
paul stookey,the wedding song (there is love)
peaches & herb,reunited
peaches & herb,shake your groove thing
perry como,it's impossible
pete wingfield,18 with a bullet
peter brown,dance with me
peter frampton,"baby, i love your way"
peter frampton,baby i love your way
peter frampton,do you feel like we do
peter frampton,i'm in you
peter frampton,show me the way
peter gabriel,solsbury hill
peter mccann,do you wanna make love
phoebe snow,poetry man
pilot,magic
pink floyd,another brick in the wall
pink floyd,another brick in the wall pt. 2
pink floyd,money
pink floyd,wish you were here
player,baby come back
player,this time i'm in it for love
poco,crazy love
pointer sisters,fire
police,roxanne
prince,i wanna be your lover
procol harum,pandora's box
public image ltd.,public image
queen,bicycle race
queen,bohemian rhapsody
queen,crazy little thing called love
queen,don't stop me now
queen,keep yourself alive
queen,killer queen
queen,now i'm here
queen,seven seas of rhye
queen,somebody to love
queen,tie your mother down
queen,we are the champions
queen,we will rock you
queen,you're my best friend
r. dean taylor,indiana wants me
rainbow,man on the silver mountain
rainbow,since you been gone
ram jam,black betty
ramones,blitzkrieg bop
ramones,i wanna be sedated
ramones,rockaway beach
randy newman,short people
randy vanwarmer,just when i needed you most
rare earth,(i know) i'm losing you
rare earth,born to wander
rare earth,get ready
rare earth,hey big brother
rare earth,i just want to celebrate
raspberries,go all the way
raspberries,overnight sensation (hit record)
ray stevens,everything is beautiful
ray stevens,misty
ray stevens,the streak
raydio,jack and jill
raydio,you can't change that
redbone,come and get your love
redbone,the witch queen of new orleans
reo speedwagon,keep pushin'
reo speedwagon,ridin' the storm out
reo speedwagon,roll with the changes
reo speedwagon,time for me to fly
rex smith,you take my breath away
rhythm heritage,theme from s.w.a.t.
richie havens,here comes the sun
rick dees and his cast of idiots,disco duck
rick james,you and i
rick nelson,garden party
rick springfield,speak to the sky
rickie lee jones,chuck e's in love
ringo starr,back off boogaloo
ringo starr,it don't come easy
ringo starr,no no song
ringo starr,oh my my
ringo starr,only you (and you alone)
ringo starr,photograph
ringo starr,youre sixteen
rita coolidge,(your love has lifted me) higher and higher
rita coolidge,we're all alone
robert john,sad eyes
robert john,the lion sleeps tonight
robert palmer,bad case of loving you (doctor doctor)
robert palmer,every kinda people
roberta flack & donny hathaway,the closer i get to you
roberta flack & donny hathaway,where is the love
roberta flack,feel like makin love
roberta flack,killing me softly with his song
roberta flack,the first time ever i saw your face
robin mcnamara,lay a little lovin' on me
robin trower,bridge of sighs
rod stewart,(i know) i'm losing you
rod stewart,ain't love a bi**h
rod stewart,da ya think im sexy?
rod stewart,farewell
rod stewart,hot legs
rod stewart,maggie may
rod stewart,reason to believe
rod stewart,sailing
rod stewart,the first cut is the deepest
rod stewart,the killing of georgie
rod stewart,this old heart of mine
rod stewart,tonights the night (gonna be alright)
rod stewart,you wear it well
rod stewart,you're in my heart (the final acclaim)
roger daltrey,giving it all away
roger voudouris,get used to it
ronnie dyson,(if you let me make love to you then) why can't i touch you?
ronnie mcdowell,the king is gone
ronnie milsap,it was almost like a song
rose royce,car wash
rose royce,i wanna get next to you
roxy music,all i want is you
roxy music,angel eyes
roxy music,dance away
roxy music,love is the drug
roxy music,street life
roxy music,virginia plain
rufus featuring chaka khan,sweet thing
rufus featuring chaka khan,tell me something good
rufus,you got the love
rupert holmes,escape (the piña colada song)
rush,closer to the heart
rush,fly by night
rush,the trees
rush,working man
sailcat,motorcycle mama
samantha sang,emotion
sammi smith,help me make it through the night
sammy davis jr.,candy man
sammy johns,chevy van
sanford & townsend,smoke from a distant fire
sanford townsend band,smoke from a distant fire
santa esmeralda,don't let me be misunderstood
santana,black magic woman
santana,everybody's everything
santana,evil ways
santana,no one to depend on
santana,oye como va
santana,she's not there
seals & crofts,diamond girl
seals & crofts,get closer
seals & crofts,i'll play for you
seals & crofts,summer breeze
seals & crofts,we may never pass this way (again)
seals & crofts,you're the love
sex pistols,c'mon everybody
sex pistols,god save the queen
sex pistols,holidays in the sun
sex pistols,no one is innocent
sex pistols,pretty vacant
sex pistols,silly thing
sex pistols,something else
shaun cassidy,da doo ron ron
shaun cassidy,hey deanie
shaun cassidy,that's rock 'n' roll
shirley and company,"shame, shame, shame"
shocking blue,venus
silver convention,"fly, robin, fly"
silver convention,get up and boogie
silver,wham bam shang-a-lang
simon & garfunkel,america
simon & garfunkel,bridge over troubled water
simon & garfunkel,cecilia
simon & garfunkel,el condor pasa
simon & garfunkel,my little town
simon paul,50 ways to leave your lover
simon paul,gone at last
simon paul,kodachrome
simon paul,slip slidin' away
sister janet mead,the lord's prayer
sister sledge,he's the greatest dancer
sister sledge,we are family
skylark,wildflower
slade,everyday
slade,in for a penny
slade,let's call it quits
sly & the family stone,dance to the music
sly & the family stone,everybody is a star
sly & the family stone,if you want me to stay
sly & the family stone,thank you (falettinme be mice elf agin)
sly and the family stone,family affair
smokey robinson & the miracles,the tears of a clown
smokey robinson,baby that's backatcha
smokey robinson,cruisin'
sonny & cher,a cowboy's work is never done
sonny and cher,all i ever need is you
sparks,amateur hour
sparks,never turn your back on mother earth
sparks,this town ain't big enough for both of us
squeeze,cool for cats
squeeze,up the junction
starbuck,moonlight feels right
starland vocal band,afternoon delight
starship,count on me
starship,jane
starship,runaway
starship,with your love
status quo,break the rules
status quo,caroline
status quo,mystery song
status quo,paper plane
status quo,rain
status quo,rockin' all over the world
stealers wheel,stuck in the middle with you
steely dan,deacon blues
steely dan,do it again
steely dan,peg
steely dan,reelin' in the years
steely dan,rikki don't lose that number
stephen bishop,on and on
stephen stills,love the one you're with
steve martin,king tut
steve miller band,fly like an eagle
steve miller band,jet airliner
steve miller band,rockn me
steve miller band,swingtown
steve miller band,take the money and run
steve miller band,the joker
stevie wonder,"signed, sealed, delivered i'm yours"
stevie wonder,boogie on reggae woman
stevie wonder,don't you worry 'bout a thing
stevie wonder,higher ground
stevie wonder,i wish
stevie wonder,if you really love me
stevie wonder,living for the city
stevie wonder,send one your love
stevie wonder,signed sealed delivered i'm yours
stevie wonder,sir duke
stevie wonder,superstition
stevie wonder,you are the sunshine of my life
stevie wonder,you havent done nothin
stories,brother louie
styx,babe
styx,blue collar man (long nights)
styx,come sail away
styx,lady
styx,miss america
styx,renegade
sugarhill gang,rapper's delight
sugarloaf,don't call us we'll call you
sugarloaf,green-eyed lady
supertramp,breakfast in america
supertramp,dreamer
supertramp,give a little bit
supertramp,goodbye stranger
supertramp,take the long way home
supertramp,the logical song
suzi quatro & chris norman,stumblin' in
sweet,ballroom blitz
sweet,fox on the run
sweet,little willy
sweet,love is like oxygen
sylvia,pillow talk
t. rex,bang a gong (get it on)
t. rex,get it on (bang a gong)
t. rex,i love to boogie
t. rex,jeepster
t. rex,metal guru
t. rex,telegram sam
tavares,heaven must be missing an angel
tavares,it only takes a minute
ted nugent,cat scratch fever
ted nugent,dog eat dog
ted nugent,stranglehold
teddy pendergrass,close the door
tee-set,ma belle amie
ten years after,love like a man
terry jacks,seasons in the sun
the 5th dimension,last night i didn't get to sleep at all
the 5th dimension,one less bell to answer
the allman brothers band,jessica
the allman brothers band,midnight rider
the allman brothers band,ramblin' man
the babys,every time i think of you
the band,don't do it
the band,rag mama rag
the beach boys,cotton fields
the beach boys,lady lynda
the beach boys,rock and roll music
the beatles,for you blue
the beatles,got to get you into my life
the beatles,let it be
the beatles,the long and winding road
the beginning of the end,funky nassau
the bellamy brothers,let your love flow
the bells,stay awhile
the blackbyrds,walking in rhythm
the blues brothers,soul man
the boomtown rats,i don't like mondays
the boomtown rats,like clockwork
the boomtown rats,looking after no1
the boomtown rats,rat trap
the brotherhood of man,united we stand
the brothers johnson,i'll be good to you
the brothers johnson,strawberry letter 23
the buggles,video killed the radio star
the buoys,timothy
the byrds,chestnut mare
the captain & tennille,lonely night (angel face)
the captain & tennille,muskrat love
the captain & tennille,shop around
the carpenters,(they long to be) close to you
the carpenters,for all we know
the carpenters,hurting each other
the carpenters,only yesterday
the carpenters,please mr. postman
the carpenters,rainy days and mondays
the carpenters,sing
the carpenters,superstar
the carpenters,top of the world
the carpenters,we've only just begun
the carpenters,yesterday once more
the cars,good times roll
the cars,just what i needed
the cars,my best friend's girl
the chi-lites,(for god's sake) give more power to the people
the chi-lites,have you seen her
the chi-lites,oh girl
the clash,london calling
the clash,train in vain
the delfonics,didn't i (blow your mind this time)
the doobie brothers,black water
the doobie brothers,china grove
the doobie brothers,listen to the music
the doobie brothers,long train runnin'
the doobie brothers,long train running
the doobie brothers,take me in your arms (rock me)
the doobie brothers,takin' it to the streets
the doobie brothers,what a fool believes
the doors,la woman
the doors,love her madly
the doors,riders on the storm
the doors,roadhouse blues
the dramatics,in the rain
the dramatics,whatcha see is whatcha get
the edgar winter group,frankenstein
the emotions,best of my love
the faces,cindy incidentally
the faces,stay with me
the flying lizards,money
the fortunes,here comes that rainy day feeling again
the four seasons,"december 1963 (oh, what a night)"
the four seasons,"december, 1963 (oh, what a night)"
the four seasons,silver star
the four seasons,who loves you
the four tops,ain't no woman (like the one i got)
the four tops,still water (love)
the free movement,i've found someone of my own
the friends of distinction,love or let me be lonely
the fuzz,i love you for all seasons
the grass roots,temptation eyes
the guess who,"hand me down, world"
the guess who,albert flasher
the guess who,american woman
the guess who,clap for the wolfman
the guess who,no sugar tonight
the guess who,no time
the guess who,rain dance
the guess who,share the land
the hillside singers,i'd like to teach the world to sing
the hollies,he ain't heavy he's my brother
the hollies,long cool woman (in a black dress)
the hollies,the air that i breathe
the honey cone,want ads
the hues corporation,rock the boat
the ides of march,vehicle
the intruders,i'll always love my mama (part 1)
the isley brothers,fight the power (part 1)
the isley brothers,pop that thang
the isley brothers,that lady
the j. geils band,must of got lost
the jackson 5,abc
the jackson 5,dancing machine
the jackson 5,i want you back
the jackson 5,ill be there
the jackson 5,mama's pearl
the jackson 5,never can say goodbye
the jackson 5,the love you save
the jacksons,enjoy yourself
the jacksons,shake your body (down to the ground)
the jaggerz,the rapper
the jam,the eton rifles
the james gang,walk away
the kinks,apeman
the kinks,lola
the kinks,victoria
the knack,good girls don't
the knack,my sharona
the main ingredient,everybody plays the fool
the main ingredient,just don't want to be lonely
the manhattans,kiss and say goodbye
the miracles,love machine
the miracles,love machine (part 1)
the miracles,the tears of a clown
the moments,love on a two-way street
the moody blues,i'm just a singer (in a rock and roll band)
the moody blues,isn't life strange
the moody blues,nights in white satin
the moody blues,question
the moody blues,the story in your eyes
the new seekers,i'd like to teach the world to sing
the new seekers,look what they've done to my song ma
the o'jays,back stabbers
the o'jays,for the love of money
the o'jays,i love music (part 1)
the o'jays,livin' for the weekend
the o'jays,put your hands together
the o'jays,use ta be my girl
the o'jays,useta be my girl
the ojays,love train
the originals,the bells
the osmonds,down by the lazy river
the osmonds,one bad apple
the osmonds,yo-yo
the partridge family,doesn't somebody want to be wanted
the partridge family,i think i love you
the partridge family,i woke up in love this morning
the partridge family,it's one of those nights (yes love)
the partridge family,looking through the eyes of love
the pipkins,gimme dat ding
the pointer sisters,yes we can can
the police,can't stand losing you
the police,message in a bottle
the police,walking on the moon
the poppy family,which way you goin' billy?
the pretenders,brass in pocket
the raiders,indian reservation (the lament of the cherokee reservation indian)
the rascals,hold on
the raspberries,i wanna be with you
the righteous brothers,rock and roll heaven
the rolling stones,ain't too proud to beg
the rolling stones,angie
the rolling stones,beast of burden
the rolling stones,brown sugar
the rolling stones,fool to cry
the rolling stones,happy
the rolling stones,it's only rock 'n roll (but i like it)
the rolling stones,miss you
the rolling stones,rip this joint
the rolling stones,tumbling dice
the rolling stones,wild horses
the ruts,babylon's burning
the sandpipers,come saturday morning
the sensational alex harvey band,delilah
the sensational alex harvey band,the boston tea party
the spinners,could it be i'm falling in love
the spinners,i'll be around
the spinners,it's a shame
the spinners,mighty love
the spinners,one of a kind (love affair)
the spinners,the rubberband man
the spinners,working my way back to you
the stampeders,sweet city woman
the staple singers,ill take you there
the staple singers,lets do it again
the staple singers,respect yourself
the stranglers,no more heroes
the stranglers,peaches
the stranglers,something better change
the strawbs,lay down
the strawbs,part of the union
the stylistics,"betcha by golly, wow"
the stylistics,betcha by golly wow
the stylistics,break up to make up
the stylistics,i'm stone in love with you
the stylistics,let's put it all together
the stylistics,rockin' roll baby
the stylistics,you are everything
the stylistics,you make me feel brand new
the supremes,up the ladder to the roof
the sweet,"funny, funny"
the sweet,action
the sweet,co-co
the sweet,the ballroom blitz
the sweet,the six teens
the sylvers,boogie fever
the sylvers,high school dance
the sylvers,hot line
the temptations,ball of confusion (that's what the world is today)
the temptations,just my imagination (running away with me)
the temptations,masterpiece
the temptations,papa was a rollin stone
the temptations,psychedelic shack
the three degrees,when will i see you again
the trammps,disco infemo
the trammps,disco inferno
the trammps,hold back the night
the trammps,that's where the happy people go
the undisputed truth,smiling faces sometimes
the who,"see me, feel me"
the who,baba o'riley
the who,behind blue eyes
the who,join together
the who,love reign o'er me
the who,squeeze box
the who,the seeker
the who,who are you
the who,won't get fooled again
thelma houston,dont leave me this way
thin lizzy,don't believe a word
thin lizzy,jailbreak
thin lizzy,the boys are back in town
thin lizzy,whisky in the jar
three dog night,an old fashioned love song
three dog night,black and white
three dog night,celebrate
three dog night,joy to the world
three dog night,liar
three dog night,mama told me (not to come)
three dog night,never been to spain
three dog night,one man band
three dog night,out in the country
three dog night,pieces of april
three dog night,shambala
three dog night,sure as i'm sittin' here
three dog night,the family of man
three dog night,the show must go on
timmy thomas,why can't we live together
toby beau,my angel baby
todd rundgren,hello it's me
todd rundgren,i saw the light
todd rundgren,we gotta get you a woman
tom jones,she's a lady
tom jones,without love (there is nothing)
tom petty and the heartbreakers,american girl
tom petty and the heartbreakers,breakdown
tom petty and the heartbreakers,don't do me like that
tom petty and the heartbreakers,i need to know
tom t. hall,i love
tommy james,draggin' the line
tony orlando and dawn,he dont love you (like i love you)
tony orlando and dawn,knock three times
tony orlando and dawn,say has anybody seen my sweet gypsy rose
tony orlando and dawn,tie a yellow ribbon round the ole oak tree
toto,hold the line
tower of power,so very hard to go
traffic,the low spark of high heeled boys
tubeway army,are friends electric?
tyrone davis,turn back the hands of time
ufo,doctor doctor
ufo,rock bottom
ufo,too hot to handle
uriah heep,easy livin'
van halen,ain't talkin' 'bout love
van halen,dance the night away
van halen,feel your love tonight
van halen,jamie's cryin'
van halen,runnin' with the devil
van halen,you really got me
van mccoy and the soul city symphony,the hustle
van mccoy,the hustle
van morrison,blue money
van morrison,domino
van morrison,wild night
vanity fare,hitchin' a ride
vicki lawrence,the night the lights went out in georgia
vicki sue robinson,turn the beat around
village people,in the navy
village people,macho man
village people,y.m.c.a.
wadsworth mansion,sweet mary
walter egan,magnet and steel
walter murphy and the big apple band,a fifth of beethoven
war,gypsy man
war,low rider
war,me and baby brother
war,slippin' into darkness
war,spill the wine
war,summer
war,the cisco kid
war,the world is a ghetto
war,why can't we be friends?
warren zevon,excitable boy
warren zevon,werewolves of london
waylon jennings & willie nelson,good hearted woman
waylon jennings,"luckenbach, texas (back to the basics of love)"
wayne newton,daddy don't you walk so fast
wet willie,keep on smilin'
wet willie,street corner serenade
white plains,my baby loves lovin'
wild cherry,play that funky music
william bell,tryin' to love two
william devaughn,be thankful for what you got
willie nelson,blue eyes crying in the rain
wilson pickett,don't knock my love
wilson pickett,engine number 9
wing and a prayer fife and drum corps,baby face
wings,goodnight tonight
wings,let 'em in
wings,listen to what the man said
wings,live and let die
wings,silly love songs
wings,with a little luck
yes,heart of the sunrise
yes,roundabout
yes,starship trooper
yes,wonderous stories
yes,your move
yvonne elliman,if i cant have you
zz top,"i'm bad, i'm nationwide"
zz top,cheap sunglasses
zz top,la grange
zz top,tush
