b.b. king,the thrill is gone
friend and lover,reach out of the darkness
gary lewis and the playboys,sealed with a kiss
gary puckett and the union gap,lady willpower
gary puckett and the union gap,over you
gary puckett and the union gap,"woman, woman"
gary puckett and the union gap,young girl
gene and debbe,playboy
georgie fame,the ballad of bonnie and clyde
grass roots,midnight confessions
herb alpert,this guy's in love with you
hugh masekela,grazing in the grass
hugo montenegro,"the good, the bad and the ugly"
human beinz,nobody but me
intruders,cowboys to girls
irish rovers,the unicorn
james brown and the famous flames,i got the feelin'
james brown and the famous flames,say it loud i'm black and i'm proud
jeannie c. riley,harper valley p.t.a.
jerry butler,"hey, western union man"
jerry butler,never give you up
john fred and his playboy band,judy in disguise (with glasses)
johnny nash,hold me tight
jose feliciano,light my fire
lemon pipers,green tambourine
lettermen,goin' out of my head / can't take my eyes off you
manfred mann,the mighty quinn
marvin gaye and tammi terrell,ain't nothing like the real thing
marvin gaye and tammi terrell,you're all i need to get by
mary hopkin,those were the days
mason williams,classical gas
merrilee rush,angel of the morning
mills brothers,cab driver
o'kaysions,girl watcher
o.c. smith,little green apples
ohio express,"yummy, yummy, yummy"
paul mauriat,love is blue
people!,i love you
percy sledge,take time to know her
rascals,a beautiful morning
rascals,people got to be free
richard harris,macarthur park
sam and dave,i thank you
sergio mendes and brasil '66,the fool on the hill
sergio mendes and brasil '66,the look of love
shorty long,here comes the judge
smokey robinson and the miracles,if you can want
stevie wonder,shoo-bee-doo-be-doo-da-day
sweet inspirations,sweet inspiration
temptations,i wish it would rain
tom jones,delilah
tommy boyce and bobby hart,i wonder what she's doing tonight
troggs,love is all around
turtles,elenore
vogues,"turn around, look at me"
willie mitchell,soul serenade
1910 fruitgum company,indian giver
andy kim,"baby, i love you"
b.j. thomas,hooked on a feeling
"blood, sweat and tears",you've made me so very happy
bob seger system,ramblin' gamblin' man
bobby sherman,little woman
booker t and the mg's,hang 'em high
booker t and the mg's,time is tight
box tops,soul deep
box tops,sweet cream ladies
brooklyn bridge,worst that could happen
cowsills,hair
crazy elephant,gimme gimme good lovin'
cuff links,tracy
david ruffin,my whole world ended (the moment you left me)
dells,"oh, what a night"
dennis yost and the classics iv,traces
diana ross and the supremes,i'm gonna make you love me
dionne warwick,this girl's in love with you
donovan,atlantis
edwin hawkins singers,oh happy day
edwin starr,twenty-five miles
elvis presley,in the ghetto
fifth dimension,aquarius / let the sunshine in
fifth dimension,wedding bell blues
flying machine,smile a little smile for me
friends of distinction,going in circles
friends of distinction,grazin' in the grass
gary puckett and the union gap,this girl is a woman now
glen campbell,galveston
grass roots,i'd wait a million years
guess who,laughing
guess who,these eyes
henry mancini and his orch.,love theme from romeo and juliet
jackie deshannon,put a little love in your heart
james brown,mother popcorn (part i)
jay and the americans,this magic moment
joe simon,the chokin' kind
johnny cash,a boy named sue
jr. walker and the all stars,what does it take (to win your love)
kenny rogers and the first edition,"ruby, don't take your love to town"
lettermen,hurt so bad
lou christie,i'm gonna make you mine
lou rawls,your good thing (is about to end)
mama cass elliot,it's getting better
marvin gaye,that's the way love is
marvin gaye,too busy thinking about my baby
mercy,love (can make you happy)
motherlode,when i die
new colony six,things i'd like to say
nilsson,everybody's talkin'
oliver,good morning starshine
oliver,jean
originals,baby i'm for real
paul revere and the raiders,"mr. sun, mr. moon"
ray stevens,gitarzan
sammy davis jr.,i've gotta be me
smith,baby it's you
smokey robinson and the miracles,"baby, baby don't cry"
"sonny charles and the checkmates, ltd.",black pearl
spiral starecase,more today than yesterday
stevie wonder,my cherie amour
temptations,"run away child, running wild"
three dog night,easy to be hard
three dog night,one
tom jones,i'll never fall in love again
tom jones,love me tonight
tommy james and the shondells,crystal blue persuasion
tommy roe,dizzy
tony joe white,polk salad annie
turtles,you showed me
tyrone davis,can i change my mind
ventures,hawaii five-o
watts 103rd street rhythm band,do your thing
winstons,color him father
zager and evans,in the year 2525 (exordium and terminus)
